Apartament 2 camere Militari/ direct dezvoltator/ comision 0%,79 800 €,"Bucuresti, Sectorul 6",57 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-militari-direct-dezvoltator-comision-0-IDF2Ec.html
"Apartament de vanzare cu 2 camere Confort Park, Vitan,Delta Vacaresti",110 000 €,"Bucuresti, Sectorul 4",61 m²,https://www.storia.ro/ro/oferta/apartament-de-vanzare-cu-2-camere-confort-park-vitan-delta-vacaresti-IDFcZI.html
Ultracentral Metrou Universitate 3 camere 66mp etaj 1,76 996 €,"Bucuresti, Sectorul 3",66 m²,https://www.storia.ro/ro/oferta/ultracentral-metrou-universitate-3-camere-66mp-etaj-1-IDEIGv.html
"PROMOTIE TVA 21% inclus 2 camere decomandat, bloc nou Metrou Aparatori",81 880 €,"Bucuresti, Sectorul 4",57 m²,https://www.storia.ro/ro/oferta/promotie-tva-21-inclus-2-camere-decomandat-bloc-nou-metrou-aparatori-IDF0Qm.html
"Apartament 2 camere, str Ilie Petre, Metro Militari",69 500 €,"Bucuresti, Sectorul 6",48 m²,https://www.storia.ro/ro/oferta/apartament-2-camere-str-ilie-petre-metro-militari-IDDUQU.html
"Pantelimon Cernica,Apartament,2 Camere, 88 Mp,Vedere Panoramica Lac",102 000 €,Pantelimon,88 m²,https://www.storia.ro/ro/oferta/pantelimon-cernica-apartament-2-camere-88-mp-vedere-panoramica-lac-IDDBRc.html
Vanzare apartament 3 camere in Titan- 7 min Metrou !!!,114 900 €,"Bucuresti, Sectorul 3",67 m²,https://www.storia.ro/ro/oferta/vanzare-apartament-3-camere-in-titan-7-min-metrou-IDExoj.html
"PROMOTIE TVA 21 % Inclus, 2 camere in constructie, bloc nou Sector 4",68 500 €,"Bucuresti, Sectorul 4",50 m²,https://www.storia.ro/ro/oferta/promotie-tva-21-inclus-2-camere-in-constructie-bloc-nou-sector-4-IDF0Pj.html
"Aparatament 3 camere, Nitu Vasile- ANAF, Piata Sudului, comision 0%",83 500 €,"Bucuresti, Sectorul 4",58 m²,https://www.storia.ro/ro/oferta/aparatament-3-camere-nitu-vasile-anaf-piata-sudului-comision-0-IDF5Xe.html
Apartament 3 camere-Loc Parcare inclus-Militari Residence-Comision 0%,78 500 €,"Bucuresti, Sectorul 6",51 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-loc-parcare-inclus-militari-residence-comision-0-IDFhNd.html
Vanzare 2 camere finalizat langa Metrou Aparatorii Patriei Promotie!,66 000 €,"Bucuresti, Sectorul 4",50 m²,https://www.storia.ro/ro/oferta/vanzare-2-camere-finalizat-langa-metrou-aparatorii-patriei-promotie-IDxv5v.html
Titan garsonieră confort 1,51 000 €,"Bucuresti, Sectorul 3",32 m²,https://www.storia.ro/ro/oferta/titan-garsonier-confort-1-IDFadp.html
Garsoniera cartier Militari Residence- mutare imediata!!,48 500 €,"Bucuresti, Sectorul 6",32 m²,https://www.storia.ro/ro/oferta/garsoniera-cartier-militari-residence-mutare-imediata-IDEKaS.html
"Apartament 3 camere, metrou Berceni-Dimitrie Leonida",111 078 €,"Bucuresti, Sectorul 4",75 m²,https://www.storia.ro/ro/oferta/apartament-3-camere-metrou-berceni-dimitrie-leonida-IDFjOu.html
Apartament 2 camere Dobroești-Fundeni,95 000 €,Dobroesti,62 m²,https://www.olx.ro/d/oferta/apartament-2-camere-dobroesti-fundeni-IDjVzyX.html
Berceni-Aparatorii Patriei-Apartament 2 camere-tva 21% inclus,68 561 €,"Bucuresti, Sectorul 4",49 m²,https://www.storia.ro/ro/oferta/berceni-aparatorii-patriei-apartament-2-camere-tva-21-inclus-IDDZZF.html
Garsoniera in zona Militari Residence finalizare aprilie 2026,45 500 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-in-zona-militari-residence-finalizare-aprilie-2026-IDEKaE.html
Garsoniera decomandata - metrou Gorjului,64 000 €,"Bucuresti, Sectorul 6",35 m²,https://www.storia.ro/ro/oferta/garsoniera-decomandata-metrou-gorjului-IDFcj4.html
Garsoniera + Parcare subterana Bloc 2023 metrou Preciziei Rotar Park,104 900 €,"Bucuresti, Sectorul 6",52 m²,https://www.storia.ro/ro/oferta/garsoniera-parcare-subterana-bloc-2023-metrou-preciziei-rotar-park-IDFdvF.html
"3 camere renovate total, parter cu gradina – Baicului, langa Doamna",90 000 €,"Bucuresti, Sectorul 2",58 m²,https://www.storia.ro/ro/oferta/3-camere-renovate-total-parter-cu-gradina-baicului-langa-doamna-IDEavp.html
